Date,IBKR - GS Accumulated Oriented Area
2020-09-21,-5.489284933698677e-05
2020-09-22,4.0662093311527245e-05
2020-09-23,6.913138598162595e-05
2020-09-24,-0.00015235373494178412
2020-09-25,-0.00011950338027956996
2020-09-26,-0.00011822168870471831
2020-09-27,-0.00011693999712986635
2020-09-28,-0.00016388053599930563
2020-09-29,-0.00012634942091236388
2020-09-30,-0.00020336941891091248
2020-10-01,-0.0001416408556218963
2020-10-02,-0.0001530979246822207
2020-10-03,-0.00015189623112354706
2020-10-04,-0.00015069453756487363
2020-10-05,-0.0001598577277714991
2020-10-06,-0.00012719905076874743
2020-10-07,-0.00015108144078130573
2020-10-08,-0.00019702364211146486
2020-10-09,-0.0002117129972353199
2020-10-10,-0.00021056382056820647
2020-10-11,-0.0002094146439010926
2020-10-12,-0.0002955628531235322
2020-10-13,-0.00025715830572823023
2020-10-14,-0.0002953288754832498
2020-10-15,-0.00023163354751968494
2020-10-16,-0.00017667027154610556
2020-10-17,-0.0001755222826754074
2020-10-18,-0.00017437429380471247
2020-10-19,-0.00020135399224840424
2020-10-20,-0.00022885361467804414
2020-10-21,-0.0001410243696182723
2020-10-22,-0.00018113208797125395
2020-10-23,-0.00018275422218394174
2020-10-24,-0.0001815006605786635
2020-10-25,-0.00018024709897338897
2020-10-26,-0.00014506768951255385
2020-10-27,-3.585028446611237e-05
2020-10-28,0.00010096448151184737
2020-10-29,8.002418198076232e-05
2020-10-30,9.081275137556638e-05
2020-10-31,9.194295962985542e-05
2020-11-01,9.307316788413752e-05
2020-11-02,8.209322857145786e-05
2020-11-03,-3.804332437473592e-05
2020-11-04,-5.938782223298487e-05
2020-11-05,-0.00012078255436716366
2020-11-06,-0.00010808319247393948
2020-11-07,-0.00010682114003245883
2020-11-08,-0.0001055590875909837
2020-11-09,-0.0003478917810591526
2020-11-10,-0.0003565127561633867
2020-11-11,-0.0003526558408164359
2020-11-12,-0.0002893694446724419
2020-11-13,-0.0003148912572544396
2020-11-14,-0.00031385540105863426
2020-11-15,-0.000312819544862825
2020-11-16,-0.00033482410927572503
2020-11-17,-0.0003525289631871112
2020-11-18,-0.00038051211080768524
2020-11-19,-0.00037427162427542977
2020-11-20,-0.00036225580660728196
2020-11-21,-0.0003610617901299792
2020-11-22,-0.0003598677736526732
2020-11-23,-0.00044033145173375194
2020-11-24,-0.0005582851797895729
2020-11-25,-0.0005437852664104501
2020-11-26,-0.0005422929222941154
2020-11-27,-0.0005231465347831899
2020-11-28,-0.000521850881104262
2020-11-29,-0.0005205552274253314
2020-11-30,-0.0004633401126796432
2020-12-01,-0.00047285157942585413
2020-12-02,-0.0005356744552278867
2020-12-03,-0.0005093290919589283
2020-12-04,-0.0005546900290611695
2020-12-05,-0.0005534271571611354
2020-12-06,-0.0005521642852611014
2020-12-07,-0.0005370140885778802
2020-12-08,-0.0005402597239490669
2020-12-09,-0.0005868351542283781
2020-12-10,-0.0006028487016849751
2020-12-11,-0.0005519009812265671
2020-12-12,-0.0005506327454473012
2020-12-13,-0.0005493645096680355
2020-12-14,-0.0005228875560440555
2020-12-15,-0.0005726935867108242
2020-12-16,-0.0005882164536449282
2020-12-17,-0.0005995061131721651
2020-12-18,-0.0005801103087715717
2020-12-19,-0.0005792540919647067
2020-12-20,-0.0005783978751578416
2020-12-21,-0.0006825876279371846
2020-12-22,-0.0006547196622174981
2020-12-23,-0.0006947986297362878
2020-12-24,-0.0006953947051730142
2020-12-25,-0.0006944898053827028
2020-12-26,-0.0006935849055923914
2020-12-27,-0.0006926800058020799
2020-12-28,-0.0007262800893425617
2020-12-29,-0.0007066898309800384
2020-12-30,-0.0006914060497689412
2020-12-31,-0.0007291985555063802
2021-01-01,-0.0007281466685708537
2021-01-02,-0.0007270947816353272
2021-01-03,-0.000726042894699802
2021-01-04,-0.0007379275227634517
2021-01-05,-0.0008053873352570954
2021-01-06,-0.0009424010035017031
2021-01-07,-0.0010197857083208749
2021-01-08,-0.0010460185029848028
2021-01-09,-0.0010454109617161465
2021-01-10,-0.00104480342044749
2021-01-11,-0.0010028663994814755
2021-01-12,-0.0010170750156184918
2021-01-13,-0.0010244884871488192
2021-01-14,-0.0009786158125676327
2021-01-15,-0.0009961707271650935
2021-01-16,-0.0009953185614689046
2021-01-17,-0.000994466395772713
2021-01-18,-0.0009936142300765237
2021-01-19,-0.0010257146247430154
2021-01-20,-0.0009689954608938487
2021-01-21,-0.0010050748585090253
2021-01-22,-0.0009946216588348554
2021-01-23,-0.000993930444272321
