Date,UBS - UNCRY Accumulated Oriented Area
2021-05-07,0.0029276096564565795
2021-05-08,0.0029272505844570485
2021-05-09,0.002926891512457517
2021-05-10,0.0028521418624679277
2021-05-11,0.0028035607572907285
2021-05-12,0.0027757578659545552
2021-05-13,0.002798072750200896
2021-05-14,0.002759395045890047
2021-05-15,0.002759465738697956
2021-05-16,0.0027595364315058653
2021-05-17,0.0027804398849727396
2021-05-18,0.002756914771221109
2021-05-19,0.00277475686207427
2021-05-20,0.0027661201911736875
2021-05-21,0.0027700687812872654
2021-05-22,0.00277010092548753
2021-05-23,0.002770133069687795
2021-05-24,0.002774712920284769
2021-05-25,0.002784979127210011
2021-05-26,0.0027862110672202105
2021-05-27,0.002774337947009877
2021-05-28,0.0027662661086599303
2021-05-29,0.0027663179481918995
2021-05-30,0.00276636978772387
2021-05-31,0.002766421627255839
2021-06-01,0.002766428838052398
2021-06-02,0.002772462392264029
2021-06-03,0.0027687849671257014
2021-06-04,0.0027687443410396007
2021-06-05,0.0027687817168464786
2021-06-06,0.002768819092653356
2021-06-07,0.0027330628491492796
2021-06-08,0.0027529281692254197
2021-06-09,0.002756992291933646
2021-06-10,0.0027513903872808596
2021-06-11,0.0027439722604353694
2021-06-12,0.0027441483625609796
2021-06-13,0.0027443244646865894
2021-06-14,0.002753313288370373
2021-06-15,0.0027569603992131124
2021-06-16,0.0027939479097762966
2021-06-17,0.002794210055529118
2021-06-18,0.002825915483032567
2021-06-19,0.0028257568955442837
2021-06-20,0.002825598308056
2021-06-21,0.0027918681060659536
2021-06-22,0.002786745341474358
2021-06-23,0.0028004909076512073
2021-06-24,0.0027680261261885924
2021-06-25,0.002763957822721627
2021-06-26,0.0027639768118846056
2021-06-27,0.002763995801047584
2021-06-28,0.0028065293254107134
2021-06-29,0.0028103262687423475
2021-06-30,0.0028385668012146426
2021-07-01,0.002791804194286011
2021-07-02,0.002826257401204081
2021-07-03,0.0028260924172734394
2021-07-04,0.002825927433342797
2021-07-05,0.002825762449412155
2021-07-06,0.0028275814420989816
2021-07-07,0.0028509820724369286
2021-07-08,0.002878472319819011
2021-07-09,0.0028311271883286874
2021-07-10,0.0028309054210842143
2021-07-11,0.0028306836538397415
2021-07-12,0.00283955651505674
2021-07-13,0.002871781462037262
2021-07-14,0.002859332665844449
2021-07-15,0.002893525984840195
2021-07-16,0.0028853328116285803
2021-07-17,0.0028849711191374673
2021-07-18,0.0028846094266463547
2021-07-19,0.002934475341888035
2021-07-20,0.003008297939317943
2021-07-21,0.0030407256281834525
2021-07-22,0.003026196605769059
2021-07-23,0.0030112672924789557
2021-07-24,0.0030108755289556025
2021-07-25,0.0030104837654322493
2021-07-26,0.0030150279996170003
2021-07-27,0.0030406500932242276
2021-07-28,0.00302603543521066
