Date,UBS - BMO Accumulated Oriented Area
2021-10-26,0.0030952848413464667
2021-10-27,0.003085468771791507
2021-10-28,0.0030557078900995036
2021-10-29,0.003080122960288978
2021-10-30,0.003081350141157026
2021-10-31,0.0030825773220250745
2021-11-01,0.0030241556185435776
2021-11-02,0.0030163004588147813
2021-11-03,0.003013331048895759
2021-11-04,0.003074546034247156
2021-11-05,0.003053550783423725
2021-11-06,0.003054839140002267
2021-11-07,0.0030561274965808087
2021-11-08,0.003062593436850942
2021-11-09,0.003052592359107058
2021-11-10,0.003101482513307209
2021-11-11,0.003094368793309439
2021-11-12,0.0030993110429384323
2021-11-13,0.0031007146364873555
2021-11-14,0.0031021182300362796
2021-11-15,0.0031170256392673845
2021-11-16,0.003124229137879197
2021-11-17,0.003092288366205807
2021-11-18,0.0031383996713019954
2021-11-19,0.003225586544462077
2021-11-20,0.003226988923654007
2021-11-21,0.0032283913028459364
2021-11-22,0.0032308624629768835
2021-11-23,0.0032033020328138097
2021-11-24,0.0031849979965616246
2021-11-25,0.0031864476468346004
2021-11-26,0.003318667101004735
2021-11-27,0.0033201068474811163
2021-11-28,0.0033215465939574994
2021-11-29,0.003313871619797701
2021-11-30,0.0033443298833558924
2021-12-01,0.0033645622033301546
2021-12-02,0.0032823877004902664
2021-12-03,0.003287104506839377
2021-12-04,0.0032884273951867965
2021-12-05,0.003289750283534214
2021-12-06,0.003254152234969411
2021-12-07,0.0032032456663965586
2021-12-08,0.0032046616656867827
2021-12-09,0.003227081124369999
2021-12-10,0.00322529670882911
2021-12-11,0.0032266099924191712
2021-12-12,0.0032279232760092326
2021-12-13,0.0032588739667437716
2021-12-14,0.00326213035022128
2021-12-15,0.00327471857455969
2021-12-16,0.003260361728328932
2021-12-17,0.0033496815151336
2021-12-18,0.0033508447821971386
2021-12-19,0.003352008049260676
2021-12-20,0.003402431136041238
2021-12-21,0.003362220006669746
2021-12-22,0.0033188364676174603
2021-12-23,0.0032880706950463353
2021-12-24,0.0032892397212942195
2021-12-25,0.003290408747542103
2021-12-26,0.0032915777737899878
2021-12-27,0.0032448564562000772
2021-12-28,0.0032377633318889884
2021-12-29,0.003256828638964865
2021-12-30,0.0032718182811295065
2021-12-31,0.003273474089280211
2022-01-01,0.0032747253477508663
2022-01-02,0.0032759766062215212
2022-01-03,0.003232808145798323
2022-01-04,0.00314988276567954
2022-01-05,0.003191269448567693
2022-01-06,0.0030946632008466016
2022-01-07,0.0030437467535707427
2022-01-08,0.0030449415181533672
2022-01-09,0.003046136282735993
2022-01-10,0.003064496187020901
2022-01-11,0.0030445575759235986
2022-01-12,0.0030102191496929817
2022-01-13,0.0030123898183518957
2022-01-14,0.0030048100633581587
2022-01-15,0.0030061797165501945
2022-01-16,0.003007549369742232
2022-01-17,0.0030089190229342696
2022-01-18,0.0030525017710849333
2022-01-19,0.0030957763152925253
2022-01-20,0.0031005769368006625
2022-01-21,0.0031298463652268543
2022-01-22,0.0031311508430131134
2022-01-23,0.0031324553207993716
2022-01-24,0.0032293492302053377
2022-01-25,0.0031963431607870043
2022-01-26,0.0031602643428268813
2022-01-27,0.003235046656464228
2022-01-28,0.0032391411665729096
2022-01-29,0.0032405323150991442
2022-01-30,0.00324192346362538
2022-01-31,0.0032050854255678478
2022-02-01,0.0029403742181233514
2022-02-02,0.002933179294853993
2022-02-03,0.0029570956793842453
2022-02-04,0.0029507353372687775
2022-02-05,0.0029518564336655237
2022-02-06,0.00295297753006227
2022-02-07,0.002926146478993632
2022-02-08,0.002865338510785553
2022-02-09,0.0028299708431366293
2022-02-10,0.002852592174657406
2022-02-11,0.0029252558577504547
2022-02-12,0.0029264075847750025
2022-02-13,0.00292755931179955
2022-02-14,0.002940877872790828
2022-02-15,0.002924388990464351
2022-02-16,0.0029641758236372854
2022-02-17,0.00300653865738761
2022-02-18,0.0030098507517680104
2022-02-19,0.003010953971075504
2022-02-20,0.0030120571903829987
2022-02-21,0.003013160409690493
2022-02-22,0.003121860712028649
2022-02-23,0.0031661722175137298
2022-02-24,0.0033625208448548557
2022-02-25,0.0032009655636490927
2022-02-26,0.0032023274497827736
2022-02-27,0.0032036893359164527
2022-02-28,0.003320496024323262
2022-03-01,0.0034499635457937343
2022-03-02,0.003375422946150155
2022-03-03,0.003472314710252419
2022-03-04,0.00372383074474215
2022-03-05,0.003725927514635288
2022-03-06,0.003728024284528423
2022-03-07,0.003983233835541579
2022-03-08,0.003822761811922905
2022-03-09,0.00361471210995048
2022-03-10,0.00366432723986212
2022-03-11,0.0036565808796766327
2022-03-12,0.0036585215373673577
2022-03-13,0.0036604621950580853
2022-03-14,0.0035811750080033448
2022-03-15,0.0035571519738640126
2022-03-16,0.003332773400231554
2022-03-17,0.0032782068980189796
2022-03-18,0.0032147293131011647
2022-03-19,0.0032164679575074386
2022-03-20,0.0032182066019137115
2022-03-21,0.00319152000372573
2022-03-22,0.003099175210560532
2022-03-23,0.0031795337692037675
2022-03-24,0.0031419085433842843
2022-03-25,0.003096290796546356
2022-03-26,0.0030978007339790103
2022-03-27,0.003099310671411665
2022-03-28,0.003127887886077656
2022-03-29,0.0030472462452303456
2022-03-30,0.0030862496333607563
2022-03-31,0.003076679021649948
2022-04-01,0.0030563416463682074
2022-04-02,0.0030576474873305042
2022-04-03,0.0030589533282928015
2022-04-04,0.0030165155404473483
2022-04-05,0.0031839404506410623
2022-04-06,0.003256588105254813
2022-04-07,0.003280867073853979
2022-04-08,0.0032822678325811596
2022-04-09,0.003283746147534337
2022-04-10,0.003285224462487516
2022-04-11,0.003315188830457158
2022-04-12,0.0034197273189527522
2022-04-13,0.0034133048980923746
2022-04-14,0.0034488976893901108
2022-04-15,0.0034505007915848927
2022-04-16,0.0034521038937796768
2022-04-17,0.003453706995974459
2022-04-18,0.0034583419146518705
2022-04-19,0.0034016875154721724
2022-04-20,0.0033548242240541673
2022-04-21,0.00345011176232206
2022-04-22,0.0035576458235314825
2022-04-23,0.003559253796992642
2022-04-24,0.003560861770453804
2022-04-25,0.0035715865673289202
2022-04-26,0.0036952505654382333
2022-04-27,0.003666612386218277
2022-04-28,0.0036337455643064604
2022-04-29,0.0037530954164397743
2022-04-30,0.0037545060992090146
2022-05-01,0.0037559167819782528
2022-05-02,0.0037738503573958716
2022-05-03,0.003682138053856343
2022-05-04,0.0036063230130970758
2022-05-05,0.0037347597422664803
2022-05-06,0.0037585710084144523
2022-05-07,0.003759833695339244
2022-05-08,0.0037610963822640375
2022-05-09,0.0038825317323426694
2022-05-10,0.003878755715434036
2022-05-11,0.003892600103189172
2022-05-12,0.00391478330243217
2022-05-13,0.003836952555010435
2022-05-14,0.003838042458301124
2022-05-15,0.00383913236159181
2022-05-16,0.003823968970079681
2022-05-17,0.003745361958990767
2022-05-18,0.003818909027895392
2022-05-19,0.003812441303514114
2022-05-20,0.003808778391023352
2022-05-21,0.0038097417614145358
2022-05-22,0.0038107051318057215
2022-05-23,0.003729581013645581
2022-05-24,0.0037123537016711776
2022-05-25,0.0037354328927171705
2022-05-26,0.003684435347661433
2022-05-27,0.003663749237270506
2022-05-28,0.003664734956397361
2022-05-29,0.003665720675524214
2022-05-30,0.0036667063946510684
2022-05-31,0.003661041989133649
2022-06-01,0.003674723420109146
2022-06-02,0.0036289841028888208
2022-06-03,0.003673252897297719
2022-06-04,0.003674349955557279
2022-06-05,0.00367544701381684
2022-06-06,0.0036507595640533166
2022-06-07,0.003654256266499637
2022-06-08,0.0037763619558391272
2022-06-09,0.0038927449588867804
2022-06-10,0.004006020101229278
2022-06-11,0.00400725612043809
2022-06-12,0.004008492139646904
2022-06-13,0.00413002056514226
2022-06-14,0.004177782549128027
2022-06-15,0.00412549069246003
2022-06-16,0.004244586854477615
2022-06-17,0.004303704099983005
2022-06-18,0.004304863731826865
2022-06-19,0.004306023363670722
2022-06-20,0.004307182995514582
2022-06-21,0.00421339146703148
2022-06-22,0.004279988809837435
2022-06-23,0.0043897710587373195
2022-06-24,0.0043439837189412425
2022-06-25,0.004344820587243659
2022-06-26,0.0043456574555460785
2022-06-27,0.004309516055137078
2022-06-28,0.004309409877052578
2022-06-29,0.004326538673573796
2022-06-30,0.0043339730676509045
