Date,MS - HDB Accumulated Oriented Area
2020-10-13,0.0025297888383603627
2020-10-14,0.0025075523168453812
2020-10-15,0.002543579025857536
2020-10-16,0.0025288925467706626
2020-10-17,0.0025289845824682314
2020-10-18,0.002529076618165798
2020-10-19,0.0024844016998627405
2020-10-20,0.0024376254913831465
2020-10-21,0.0024185581254321693
2020-10-22,0.0023993372929614243
2020-10-23,0.002389526716766821
2020-10-24,0.0023901123222922443
2020-10-25,0.0023906979278176675
2020-10-26,0.0024329199560925497
2020-10-27,0.002431318461989364
2020-10-28,0.002495150935617873
2020-10-29,0.0025371375016306217
2020-10-30,0.002544497565535211
2020-10-31,0.002544880806254374
2020-11-01,0.002545264046973539
2020-11-02,0.002476699823678006
2020-11-03,0.0024250682209102947
2020-11-04,0.002383546556732852
2020-11-05,0.0023474109565698323
2020-11-06,0.002326729910233838
2020-11-07,0.002327650103292782
2020-11-08,0.0023285702963517264
2020-11-09,0.002153622676414955
2020-11-10,0.0021546585337019197
2020-11-11,0.002150400243786375
2020-11-12,0.0021719574513952337
2020-11-13,0.002122856119919919
2020-11-14,0.0021240732944598395
2020-11-15,0.0021252904689997615
2020-11-16,0.0020699376293750495
2020-11-17,0.0020487564666789955
2020-11-18,0.0020603562408852256
2020-11-19,0.002070289360880391
2020-11-20,0.0020942314747343206
2020-11-21,0.002095274285839419
2020-11-22,0.0020963170969445187
2020-11-23,0.0020321867447501596
2020-11-24,0.0019392318714990713
2020-11-25,0.0019374937803136386
2020-11-26,0.001938547434928505
2020-11-27,0.0019276578831415698
2020-11-28,0.0019286642805857702
2020-11-29,0.0019296706780299693
2020-11-30,0.0019922073127928595
2020-12-01,0.0019486787068050849
2020-12-02,0.0019236925931071858
2020-12-03,0.0019148429658788623
2020-12-04,0.0018873838631897196
2020-12-05,0.0018883289615346534
2020-12-06,0.0018892740598795853
2020-12-07,0.001908152332311705
2020-12-08,0.001918358062577502
2020-12-09,0.0019077785676522953
2020-12-10,0.0019070380641838724
2020-12-11,0.001933211441158378
2020-12-12,0.0019341276805950075
2020-12-13,0.0019350439200316362
2020-12-14,0.001971084202965109
2020-12-15,0.0019191696362604916
2020-12-16,0.0019134661249658458
2020-12-17,0.0019066195007041164
2020-12-18,0.0019243107356444343
2020-12-19,0.0019255581017726016
2020-12-20,0.0019268054679007671
2020-12-21,0.0018032870400855184
2020-12-22,0.0018367113331899988
2020-12-23,0.0018021306329084245
2020-12-24,0.001812729347852717
2020-12-25,0.0018137939686499543
2020-12-26,0.0018148585894471939
2020-12-27,0.001815923210244431
2020-12-28,0.0018309750576098825
2020-12-29,0.0018442075990848996
2020-12-30,0.0018553289181396971
2020-12-31,0.0018358994173492062
2021-01-01,0.0018372052306042832
2021-01-02,0.001838511043859362
2021-01-03,0.0018398168571144397
2021-01-04,0.0018200715464040998
2021-01-05,0.001805497737833367
2021-01-06,0.0016639464678842482
2021-01-07,0.001655950956197959
2021-01-08,0.001671403332882641
2021-01-09,0.0016726116917786704
2021-01-10,0.0016738200506746979
2021-01-11,0.0016566294619159286
2021-01-12,0.0017083655285532815
2021-01-13,0.0017399553281909831
2021-01-14,0.0017075921398193488
2021-01-15,0.001734233363100759
2021-01-16,0.0017356176861419122
2021-01-17,0.0017370020091830613
2021-01-18,0.0017383863322242127
2021-01-19,0.001749555412640983
2021-01-20,0.0017631627595591452
2021-01-21,0.0017290326922104165
2021-01-22,0.0017680947645316613
2021-01-23,0.0017694482567508967
2021-01-24,0.0017708017489701335
2021-01-25,0.0018225619628340292
2021-01-26,0.0018493368945633223
2021-01-27,0.001882880860528826
2021-01-28,0.0018919580268711089
2021-01-29,0.0019704209873484106
2021-01-30,0.001971748711324748
2021-01-31,0.001973076435301088
2021-02-01,0.0019894283725412614
2021-02-02,0.0018570684129279012
2021-02-03,0.001878172863081094
2021-02-04,0.0017923650688836314
2021-02-05,0.001784981554186966
2021-02-06,0.0017870061248766813
2021-02-07,0.0017890306955664014
2021-02-08,0.001749959681550354
2021-02-09,0.0017325786918919717
2021-02-10,0.0017168553310017238
2021-02-11,0.0017524591182025173
2021-02-12,0.00174692410479484
2021-02-13,0.0017490043139418538
2021-02-14,0.0017510845230888712
2021-02-15,0.001753164732235887
2021-02-16,0.0016832353982695258
2021-02-17,0.001689150258181078
2021-02-18,0.0017139143239401718
2021-02-19,0.0016837433526906034
2021-02-20,0.0016857664355544926
2021-02-21,0.001687789518418384
2021-02-22,0.001567783598194114
2021-02-23,0.0015598169167573847
2021-02-24,0.0015205937681964225
2021-02-25,0.0015717867502727959
2021-02-26,0.0015805793783616844
2021-02-27,0.0015822925793934337
2021-02-28,0.0015840057804251879
2021-03-01,0.0015553929076386067
2021-03-02,0.0014993290142354522
2021-03-03,0.001434948595059056
2021-03-04,0.001444780077766947
2021-03-05,0.0014838608141209257
2021-03-06,0.0014857456388667645
2021-03-07,0.0014876304636126066
2021-03-08,0.0014490502815649503
2021-03-09,0.0015190615834429105
2021-03-10,0.00141025173408029
2021-03-11,0.0014279709717677958
2021-03-12,0.0012877993991508194
2021-03-13,0.0012894918474956039
2021-03-14,0.0012911842958403892
2021-03-15,0.0013142194271078815
2021-03-16,0.0014187712910039407
2021-03-17,0.00128421509234147
2021-03-18,0.0012204115079498378
2021-03-19,0.0012582884123168584
2021-03-20,0.0012597619083511103
2021-03-21,0.0012612354043853669
2021-03-22,0.00131585436739617
2021-03-23,0.001450617013228729
2021-03-24,0.001416748828043771
2021-03-25,0.0013910295262152244
2021-03-26,0.0014309188162694333
2021-03-27,0.0014325922709199233
2021-03-28,0.001434265725570409
2021-03-29,0.0015057794231521891
2021-03-30,0.00150350862604124
2021-03-31,0.0014927185159800654
2021-04-01,0.0014737894682875508
2021-04-02,0.0014753558931418088
2021-04-03,0.0014769223179960666
2021-04-04,0.0014784887428503236
2021-04-05,0.0014462087919959795
2021-04-06,0.001400619571499349
2021-04-07,0.001383322298337603
2021-04-08,0.0013399358094963645
2021-04-09,0.001311256836762774
2021-04-10,0.0013124242152685638
