Date,GS - HDB Accumulated Oriented Area
2021-01-13,0.0008715094386651267
2021-01-14,0.0008235522166600959
2021-01-15,0.0008646889230585239
2021-01-16,0.000865671764342909
2021-01-17,0.0008666546056272892
2021-01-18,0.000867637446911672
2021-01-19,0.0009365615735171009
2021-01-20,0.0009833857618395025
2021-01-21,0.000947718370781238
2021-01-22,0.0009701766693262749
2021-01-23,0.000971184576669124
2021-01-24,0.0009721924840119772
2021-01-25,0.0010205815820866848
2021-01-26,0.0010135223744973721
2021-01-27,0.0010011700039437516
2021-01-28,0.0010475582159074246
2021-01-29,0.0010849433371285322
2021-01-30,0.001085909265049381
2021-01-31,0.001086875192970231
2021-02-01,0.0011477186527869743
2021-02-02,0.0010366106785330365
2021-02-03,0.0010216966179483241
2021-02-04,0.0009453041029242021
2021-02-05,0.0010062708825576661
2021-02-06,0.0010077867628992309
2021-02-07,0.001009302643240801
2021-02-08,0.0009363163811591069
2021-02-09,0.0009047233492112487
2021-02-10,0.0008368051008185072
2021-02-11,0.0008703659445753924
2021-02-12,0.0008805887449254938
2021-02-13,0.0008820992281540942
2021-02-14,0.0008836097113826948
2021-02-15,0.0008851201946112938
2021-02-16,0.0008131605235420537
2021-02-17,0.0007630337405353418
2021-02-18,0.0007879454530854795
2021-02-19,0.000759232942082546
2021-02-20,0.000760668167032226
2021-02-21,0.0007621033919819034
2021-02-22,0.0006572794330234595
2021-02-23,0.000623491630506243
2021-02-24,0.0005929178722820104
