Date,UBS - PNC Accumulated Oriented Area
2020-08-31,0.002084079413070919
2020-09-01,0.0020782377208031885
2020-09-02,0.002095315164496885
2020-09-03,0.002082513985310859
2020-09-04,0.002048051334748983
2020-09-05,0.002047841281214055
2020-09-06,0.0020476312276791276
2020-09-07,0.0020474211741442
2020-09-08,0.002089475894152904
2020-09-09,0.002160896632994739
2020-09-10,0.002192567866812009
2020-09-11,0.0021177908568192744
2020-09-12,0.002117478532399047
2020-09-13,0.0021171662079788227
2020-09-14,0.002058882023282819
2020-09-15,0.0021070830078169893
2020-09-16,0.002044083329693399
2020-09-17,0.0020851084655061506
2020-09-18,0.0020452569137143404
2020-09-19,0.0020450326794452197
2020-09-20,0.002044808445176099
2020-09-21,0.0020209848206508294
2020-09-22,0.002137963827459107
2020-09-23,0.002182621923635324
2020-09-24,0.002093319530095521
2020-09-25,0.001936697617519635
2020-09-26,0.001936446152547183
2020-09-27,0.0019361946875747294
2020-09-28,0.0019237890935801091
2020-09-29,0.00196459382165637
2020-09-30,0.0018610834251453492
2020-10-01,0.0018977580635963199
2020-10-02,0.0018057650406240761
2020-10-03,0.0018056921290131127
2020-10-04,0.0018056192174021456
2020-10-05,0.0017406666358558535
2020-10-06,0.001805657973748494
2020-10-07,0.0017581479991150102
2020-10-08,0.0017131443632902104
2020-10-09,0.0017356315795113444
2020-10-10,0.0017356464935434752
2020-10-11,0.0017356614075756055
2020-10-12,0.001727523545919321
2020-10-13,0.001840528028387861
2020-10-14,0.0019217913876799757
2020-10-15,0.0019174986784897272
2020-10-16,0.0018764343733889066
2020-10-17,0.0018762749336015151
2020-10-18,0.001876115493814121
2020-10-19,0.001961458981393186
2020-10-20,0.0020093121002661735
2020-10-21,0.0020278150932193846
2020-10-22,0.0019136221441193473
2020-10-23,0.0019292702630435605
2020-10-24,0.0019291112855965521
2020-10-25,0.001928952308149544
2020-10-26,0.0020214415866823873
2020-10-27,0.002044749234150045
2020-10-28,0.001951309234460859
2020-10-29,0.001905451241116251
2020-10-30,0.0018427883254647712
2020-10-31,0.0018426340893254733
2020-11-01,0.0018424798531861792
2020-11-02,0.0017902517764279242
2020-11-03,0.0017425589812344688
2020-11-04,0.0019109833580678184
2020-11-05,0.001851834416726355
2020-11-06,0.0019265983505358255
2020-11-07,0.0019263242128770561
2020-11-08,0.0019260500752182874
2020-11-09,0.001666043312204854
2020-11-10,0.0016970154806709144
2020-11-11,0.0017204851042834052
2020-11-12,0.0017977435866934023
2020-11-13,0.0017784050313149266
2020-11-14,0.0017783845793490098
2020-11-15,0.0017783641273830951
2020-11-16,0.001756110989011548
2020-11-17,0.0017594148748512383
2020-11-18,0.0017162644733762506
2020-11-19,0.0017082429725911938
2020-11-20,0.0017257597006792795
2020-11-21,0.0017258731655353647
2020-11-22,0.00172598663039145
2020-11-23,0.0016665559566234902
2020-11-24,0.0015889485060017767
2020-11-25,0.0015896897146049746
2020-11-26,0.0015902275757772898
2020-11-27,0.0016038517093928182
2020-11-28,0.0016043683385524585
2020-11-29,0.0016048849677120988
2020-11-30,0.0016428984104702132
2020-12-01,0.0015935955287463607
2020-12-02,0.001584157240919217
2020-12-03,0.0015883020936398964
2020-12-04,0.0015759676930052445
2020-12-05,0.0015766026847965423
2020-12-06,0.00157723767658784
2020-12-07,0.001585423933169352
2020-12-08,0.001592950478556858
2020-12-09,0.001569051583268019
2020-12-10,0.001577891341937622
2020-12-11,0.0015969121811667169
2020-12-12,0.001597664324873434
2020-12-13,0.0015984164685801513
2020-12-14,0.0016307404455487905
2020-12-15,0.0015904403945774864
2020-12-16,0.0015673648653328767
2020-12-17,0.001578846170874475
2020-12-18,0.0015849212617393064
2020-12-19,0.00158570259162152
2020-12-20,0.0015864839215037313
2020-12-21,0.0016108945645355382
2020-12-22,0.0016353515928094428
2020-12-23,0.0015541331481245242
2020-12-24,0.0015674025178015105
2020-12-25,0.0015682267236674667
2020-12-26,0.001569050929533423
2020-12-27,0.0015698751353993795
2020-12-28,0.0015638397675057148
2020-12-29,0.0015883359549707158
2020-12-30,0.0015614080981739614
2020-12-31,0.0015236085055895688
2021-01-01,0.0015245239564983413
2021-01-02,0.0015254394074071158
2021-01-03,0.0015263548583158886
2021-01-04,0.0015098673900537406
2021-01-05,0.001492001799218455
2021-01-06,0.0013526950312371339
2021-01-07,0.0012745878511228167
2021-01-08,0.0013164205315717291
2021-01-09,0.0013174711517712327
2021-01-10,0.0013185217719707363
2021-01-11,0.0013184989678275492
2021-01-12,0.0012815716752907474
2021-01-13,0.001341961812395206
2021-01-14,0.0013029715772888183
2021-01-15,0.0013774432729578984
2021-01-16,0.0013784037780520642
2021-01-17,0.0013793642831462314
2021-01-18,0.0013803247882403975
2021-01-19,0.0013977819132112714
