Date,UBS - IBN Accumulated Oriented Area
2020-08-08,0.006696957135614343
2020-08-09,0.006696684433978819
2020-08-10,0.006599523571298048
2020-08-11,0.006546150139028105
2020-08-12,0.006649096911619614
2020-08-13,0.006609635764270024
2020-08-14,0.006698057618934822
2020-08-15,0.006697775831057233
2020-08-16,0.006697494043179641
2020-08-17,0.006611271680218935
2020-08-18,0.006415071415442997
2020-08-19,0.006491690344917736
2020-08-20,0.006433453618699683
2020-08-21,0.006380843205837478
2020-08-22,0.006381037297892755
2020-08-23,0.006381231389948037
2020-08-24,0.006403156996547658
2020-08-25,0.006267371023367527
2020-08-26,0.006387661606552979
2020-08-27,0.006293080524993942
2020-08-28,0.006109777277516701
2020-08-29,0.006110364993618049
2020-08-30,0.0061109527097194
2020-08-31,0.0062252594744146225
2020-09-01,0.006185486558308887
2020-09-02,0.006289867129569426
2020-09-03,0.006378483685797276
2020-09-04,0.006442360728253705
2020-09-05,0.006442459490562722
2020-09-06,0.0064425582528717384
2020-09-07,0.006442657015180753
2020-09-08,0.006359082778606539
2020-09-09,0.00651970611081642
2020-09-10,0.0065210632724284606
2020-09-11,0.006519356499637836
2020-09-12,0.006519347918317396
2020-09-13,0.006519339336996955
2020-09-14,0.006710458604589867
2020-09-15,0.006511743051210742
2020-09-16,0.0065238288881935315
2020-09-17,0.006531133899942792
2020-09-18,0.006437325075904452
2020-09-19,0.0064374379936417425
2020-09-20,0.0064375509113790315
2020-09-21,0.006244676222778191
2020-09-22,0.006150534348421858
2020-09-23,0.006101367857071785
2020-09-24,0.006142691044104923
2020-09-25,0.005751295258621173
2020-09-26,0.005752311230671214
2020-09-27,0.005753327202721252
2020-09-28,0.0059598800925502685
2020-09-29,0.005906409813724872
2020-09-30,0.006002377130270579
2020-10-01,0.005796856143702227
2020-10-02,0.005866515037721239
2020-10-03,0.005867270952794894
2020-10-04,0.0058680268678685445
2020-10-05,0.00587367473334543
2020-10-06,0.005910107787818355
2020-10-07,0.005872608236232035
2020-10-08,0.005801077608571267
2020-10-09,0.0056464700958704945
2020-10-10,0.005647448822110793
2020-10-11,0.005648427548351089
2020-10-12,0.005702317558339904
2020-10-13,0.005716454797581816
2020-10-14,0.005534567770869161
2020-10-15,0.005636733006624227
2020-10-16,0.005671538764849391
2020-10-17,0.005672509296199933
2020-10-18,0.005673479827550471
2020-10-19,0.005570978277489079
2020-10-20,0.005764673056847863
2020-10-21,0.005680576039848376
