Date,IBKR - HDB Accumulated Oriented Area
2020-07-26,0.002135189538301576
2020-07-27,0.002292298648342771
2020-07-28,0.002271699026032924
2020-07-29,0.0022898825113157185
2020-07-30,0.002353242907887381
2020-07-31,0.0024087141530347426
2020-08-01,0.0024083722414025826
2020-08-02,0.002408030329770426
2020-08-03,0.002551536516592303
2020-08-04,0.0025239674806514967
2020-08-05,0.0025695738028106447
2020-08-06,0.002516612967103724
2020-08-07,0.002522495493115242
2020-08-08,0.00252205780164642
2020-08-09,0.002521620110177595
2020-08-10,0.0024532106853996775
2020-08-11,0.00239189821354954
2020-08-12,0.002459578877104152
2020-08-13,0.0024360762887576486
2020-08-14,0.002547211571863779
2020-08-15,0.002546746489972551
2020-08-16,0.0025462814080813257
2020-08-17,0.002587590298583878
2020-08-18,0.0024677679162387074
2020-08-19,0.0025230667720427943
2020-08-20,0.0024767216362400935
2020-08-21,0.002393519909022903
2020-08-22,0.0023932603486597616
2020-08-23,0.0023930007882966148
2020-08-24,0.002322743973374004
2020-08-25,0.0022924092596181096
2020-08-26,0.002348092626497345
2020-08-27,0.0023813782874553954
2020-08-28,0.0022911529922710317
2020-08-29,0.0022910780927684307
2020-08-30,0.0022910031932658276
2020-08-31,0.0023693017552150085
2020-09-01,0.002280840528567711
2020-09-02,0.0022524595268221623
2020-09-03,0.002290336659453725
2020-09-04,0.002307816764961605
2020-09-05,0.0023077073401293153
2020-09-06,0.00230759791529703
2020-09-07,0.002307488490464745
2020-09-08,0.002216960774792133
2020-09-09,0.0021613005006538306
2020-09-10,0.0021814029866796323
2020-09-11,0.002187497051890717
2020-09-12,0.002187521041990882
2020-09-13,0.0021875450320910446
2020-09-14,0.002250604730451161
2020-09-15,0.0021656639443847986
2020-09-16,0.002092194101844161
2020-09-17,0.0021150467727790953
2020-09-18,0.0022455878497506365
2020-09-19,0.002245544821255384
2020-09-20,0.0022455017927601314
2020-09-21,0.0023219843217746365
2020-09-22,0.002349943618415777
2020-09-23,0.0022790851787694655
2020-09-24,0.0023144209061195953
2020-09-25,0.00224568088770108
2020-09-26,0.0022456302970970928
2020-09-27,0.00224557970649311
2020-09-28,0.0022992305822607424
2020-09-29,0.0022469952157373897
2020-09-30,0.002165576936783698
2020-10-01,0.0020148983303267635
2020-10-02,0.002026537363719116
2020-10-03,0.0020267209646795794
2020-10-04,0.002026904565640038
2020-10-05,0.001984875158542866
2020-10-06,0.0019368243281645224
2020-10-07,0.001899149980346502
2020-10-08,0.0018498662926517099
2020-10-09,0.0017511838980314863
2020-10-10,0.001751687958719561
2020-10-11,0.0017521920194076394
