Date,UBS - HDB Accumulated Oriented Area
2021-02-26,0.001531319546112744
2021-02-27,0.001533528363853107
2021-02-28,0.001535737181593466
2021-03-01,0.0013855186703749685
2021-03-02,0.0013177849480021627
2021-03-03,0.001392326523338741
2021-03-04,0.0015552146563167807
2021-03-05,0.0014569947387396167
2021-03-06,0.001459438382469173
2021-03-07,0.0014618820261987292
2021-03-08,0.0014673912038014553
2021-03-09,0.0014623127565245265
2021-03-10,0.0014442947396621619
2021-03-11,0.0015170368609485909
2021-03-12,0.0015773219802855617
2021-03-13,0.0015796747528205222
2021-03-14,0.0015820275253554843
2021-03-15,0.0016002777499524137
2021-03-16,0.0015308132790384853
2021-03-17,0.0015047306310307903
2021-03-18,0.0014578690294890233
2021-03-19,0.0014570017115146778
2021-03-20,0.0014590173247342434
2021-03-21,0.0014610329379538079
2021-03-22,0.0014350023640068812
2021-03-23,0.001539744176870359
2021-03-24,0.0015425214396350556
2021-03-25,0.0014598908093327212
2021-03-26,0.0014480404761290436
2021-03-27,0.00145019166809448
2021-03-28,0.0014523428600599192
2021-03-29,0.0016058004943409654
2021-03-30,0.0015588901979265968
2021-03-31,0.0016554135299008733
2021-04-01,0.0015632059372469131
2021-04-02,0.0015652452666857983
2021-04-03,0.0015672845961246834
2021-04-04,0.0015693239255635677
2021-04-05,0.001563015498093379
2021-04-06,0.001515496081826666
2021-04-07,0.0015325470701247972
2021-04-08,0.0015462540288997371
2021-04-09,0.0015539747179947941
2021-04-10,0.0015556170441342232
2021-04-11,0.001557259370273652
2021-04-12,0.001647520365183805
2021-04-13,0.0017287821565281074
2021-04-14,0.0016710817136906886
2021-04-15,0.0016368132584492299
2021-04-16,0.0015822055503563995
2021-04-17,0.0015836879776193924
2021-04-18,0.0015851704048823866
2021-04-19,0.0016889896913205526
2021-04-20,0.0017398008100731588
2021-04-21,0.001760147915969213
2021-04-22,0.0017810275776071938
2021-04-23,0.0017529713168873695
2021-04-24,0.0017543610256075814
2021-04-25,0.001755750734327792
2021-04-26,0.001695568093180294
2021-04-27,0.001699495252114953
2021-04-28,0.001563430281233753
2021-04-29,0.001584984925143916
2021-04-30,0.0017321593564794853
2021-05-01,0.0017336347682036714
2021-05-02,0.0017351101799278562
2021-05-03,0.0017396460783695362
2021-05-04,0.0018247228099578748
2021-05-05,0.0017406171586653043
2021-05-06,0.0016667248892041791
2021-05-07,0.001619696916098115
2021-05-08,0.0016211906649903247
2021-05-09,0.0016226844138825362
2021-05-10,0.0017452472417411194
2021-05-11,0.001811280109363649
2021-05-12,0.0018659214627675185
2021-05-13,0.001776831227512311
2021-05-14,0.0017211987858546003
2021-05-15,0.0017226226208397494
2021-05-16,0.0017240464558248968
2021-05-17,0.0016615124825418402
2021-05-18,0.001606304828092017
2021-05-19,0.0016231675443026303
2021-05-20,0.0015775034654893472
2021-05-21,0.0014744629575055685
2021-05-22,0.0014763895158287623
2021-05-23,0.0014783160741519575
2021-05-24,0.0014734403019455605
2021-05-25,0.0015304779937848722
2021-05-26,0.0015228713014023864
2021-05-27,0.0014175919136701503
2021-05-28,0.0013678160261988538
2021-05-29,0.0013696713121547554
2021-05-30,0.0013715265981106579
2021-05-31,0.0013733818840665612
2021-06-01,0.0013537174629092408
2021-06-02,0.0013639295176283623
2021-06-03,0.0013372006792874242
2021-06-04,0.0013506890026375436
2021-06-05,0.0013525550588543915
