Date,UBS - WFC Accumulated Oriented Area
2022-09-25,0.004025838091222239
2022-09-26,0.004023010361184396
2022-09-27,0.0040187477184775635
2022-09-28,0.004000457380758247
2022-09-29,0.003981051733519483
2022-09-30,0.003986106835155087
2022-10-01,0.00398540776660519
2022-10-02,0.003984708698055292
2022-10-03,0.003885002881663727
2022-10-04,0.003814039000947851
2022-10-05,0.0037964906656428586
2022-10-06,0.0038338508049869857
2022-10-07,0.0038656328960389903
2022-10-08,0.003865090524666957
2022-10-09,0.003864548153294924
2022-10-10,0.0038680047313699485
2022-10-11,0.003963121375984123
2022-10-12,0.003906989530877383
2022-10-13,0.0037949930383886312
2022-10-14,0.0036646444505924417
2022-10-15,0.003664250069512377
2022-10-16,0.003663855688432312
2022-10-17,0.003621223753860879
2022-10-18,0.0035825564072301305
2022-10-19,0.0036624984840056985
2022-10-20,0.0036575874881631092
2022-10-21,0.003564519843751886
2022-10-22,0.0035642650394293756
2022-10-23,0.0035640102351068652
2022-10-24,0.003547358699044501
2022-10-25,0.0036033799653877392
2022-10-26,0.0035677859641421194
2022-10-27,0.003560311491322971
2022-10-28,0.003520159029039092
2022-10-29,0.003520015752675849
2022-10-30,0.0035198724763126073
2022-10-31,0.0035330467768480084
2022-11-01,0.0034671324882656687
2022-11-02,0.003464757709610517
2022-11-03,0.003564643507117786
2022-11-04,0.0035111780301632853
2022-11-05,0.003511063693263768
2022-11-06,0.003510949356364251
2022-11-07,0.003492513712143942
2022-11-08,0.003485766787378925
2022-11-09,0.0035599529102907815
2022-11-10,0.0034790632727418505
2022-11-11,0.003515116152031708
2022-11-12,0.0035150293584174444
2022-11-13,0.003514942564803181
2022-11-14,0.0035333845406975086
2022-11-15,0.00354442189477089
2022-11-16,0.003560834484779279
2022-11-17,0.0035679475639908394
2022-11-18,0.003547792940765423
2022-11-19,0.0035476182521543254
2022-11-20,0.003547443563543228
2022-11-21,0.0035337957217069214
2022-11-22,0.003523119255936428
2022-11-23,0.003516838128182357
2022-11-24,0.0035167346172261973
2022-11-25,0.0035143399574653587
2022-11-26,0.003514244427517505
2022-11-27,0.003514148897569652
2022-11-28,0.0035212394162567598
2022-11-29,0.003500186276678319
2022-11-30,0.003487767605875067
2022-12-01,0.0035319457995670288
2022-12-02,0.00356867965847823
2022-12-03,0.0035684513031249867
2022-12-04,0.0035682229477717437
2022-12-05,0.003666158674217588
2022-12-06,0.0036638582235796603
2022-12-07,0.0037036634992116775
2022-12-08,0.003693345979569717
2022-12-09,0.003700974824702143
2022-12-10,0.0037004247813477234
2022-12-11,0.003699874737993304
2022-12-12,0.003683591616648088
2022-12-13,0.00373462099716982
2022-12-14,0.0037243844000704497
2022-12-15,0.0037167444857767085
2022-12-16,0.003708313924826589
2022-12-17,0.003707642503265779
2022-12-18,0.0037069710817049695
2022-12-19,0.00368288935505838
2022-12-20,0.003744877417082504
2022-12-21,0.00378906958943634
2022-12-22,0.0037958098124744586
2022-12-23,0.0038054799696997537
2022-12-24,0.003804770007655181
2022-12-25,0.0038040600456106083
2022-12-26,0.0038033500835660348
2022-12-27,0.003801944498303513
2022-12-28,0.003787067472709426
2022-12-29,0.0038031513954533604
2022-12-30,0.003791258565239811
2022-12-31,0.0037905792066615864
2023-01-01,0.003789899848083361
2023-01-02,0.003789220489505135
2023-01-03,0.0037945156330637772
2023-01-04,0.003824443736684422
2023-01-05,0.0038210293282195367
2023-01-06,0.0038343898274598083
2023-01-07,0.003833838237339692
2023-01-08,0.003833286647219576
2023-01-09,0.0038524891085033714
2023-01-10,0.0038727241394694075
