Date,UBS - BNPQY Accumulated Oriented Area
2020-12-25,0.003152907881768136
2020-12-26,0.0031535933372638246
2020-12-27,0.0031542787927595134
2020-12-28,0.003162640929330875
2020-12-29,0.0031720830070142004
2020-12-30,0.003176175341188427
2020-12-31,0.003163597609761975
2021-01-01,0.003164251233816443
2021-01-02,0.0031649048578709115
2021-01-03,0.0031655584819253796
2021-01-04,0.003191936894032012
2021-01-05,0.003168462451870387
2021-01-06,0.0030489305198463865
2021-01-07,0.002990522350507588
2021-01-08,0.0030353863032456553
2021-01-09,0.0030360891301997534
2021-01-10,0.0030367919571538515
2021-01-11,0.0030620003576497545
2021-01-12,0.003052222490608625
2021-01-13,0.0030721503541442487
2021-01-14,0.0030584636091559037
2021-01-15,0.003100748399943846
2021-01-16,0.003101276641364218
2021-01-17,0.0031018048827845903
2021-01-18,0.003102333124204962
2021-01-19,0.0031133214579131324
2021-01-20,0.003096525273140532
2021-01-21,0.0031005806712617627
2021-01-22,0.0031593913660303546
2021-01-23,0.003159820964651564
2021-01-24,0.0031602505632727738
2021-01-25,0.0032275184474399297
2021-01-26,0.0032239680195562752
2021-01-27,0.003303086300501166
2021-01-28,0.003257750908924337
2021-01-29,0.0033039291728061758
2021-01-30,0.0033040045983071097
2021-01-31,0.003304080023808045
2021-02-01,0.0032851621246124747
2021-02-02,0.003239695590445673
2021-02-03,0.003224995194223623
2021-02-04,0.0032104518484613004
2021-02-05,0.0031707314030562216
2021-02-06,0.0031711625984498035
2021-02-07,0.0031715937938433846
2021-02-08,0.0031366958600747307
2021-02-09,0.0031323180526704234
2021-02-10,0.003100664031261072
2021-02-11,0.0030805684166065905
2021-02-12,0.00305224149234258
2021-02-13,0.0030530015657791584
2021-02-14,0.0030537616392157367
2021-02-15,0.003054521712652315
2021-02-16,0.002983640224347532
2021-02-17,0.003015246980686448
2021-02-18,0.0030482263687786294
2021-02-19,0.0029987252075981624
2021-02-20,0.00299966666943645
2021-02-21,0.003000608131274737
2021-02-22,0.0029474763468251585
2021-02-23,0.002959196525049974
2021-02-24,0.002891761621403861
2021-02-25,0.002925698315074316
2021-02-26,0.002986281611499204
2021-02-27,0.002987315794766062
2021-02-28,0.0029883499780329194
2021-03-01,0.0029537191172219254
2021-03-02,0.0029036627586108976
2021-03-03,0.0029167939194857245
2021-03-04,0.0029962849560108543
2021-03-05,0.0029368552290292434
2021-03-06,0.0029381258344510714
2021-03-07,0.0029393964398729006
2021-03-08,0.0029193981088128794
2021-03-09,0.0029522653348185413
2021-03-10,0.0029191131063041344
2021-03-11,0.0029772267027902343
2021-03-12,0.0029529992494569278
2021-03-13,0.0029543927298427267
2021-03-14,0.002955786210228525
2021-03-15,0.0030025254108924653
2021-03-16,0.0030112839186308945
2021-03-17,0.002956042887660314
2021-03-18,0.002921511718449421
2021-03-19,0.0029313130039403104
2021-03-20,0.002932394328748861
2021-03-21,0.0029334756535574114
2021-03-22,0.0029323946984130362
2021-03-23,0.0030094343510627046
2021-03-24,0.002984489232915976
2021-03-25,0.002947348020798892
2021-03-26,0.002930270278559636
2021-03-27,0.002931375026216416
2021-03-28,0.0029324797738731964
2021-03-29,0.0030206774092489553
2021-03-30,0.002979786138057322
2021-03-31,0.0030069725191538403
2021-04-01,0.002946354885911746
2021-04-02,0.0029475303054472134
2021-04-03,0.0029487057249826805
2021-04-04,0.002949881144518147
2021-04-05,0.002904000889983858
2021-04-06,0.0028924484591735886
2021-04-07,0.0028844487136478183
2021-04-08,0.002891454619280547
2021-04-09,0.0029054220188200744
2021-04-10,0.002906505883504383
2021-04-11,0.0029075897481886928
2021-04-12,0.002915496299575945
2021-04-13,0.0029855899339279665
2021-04-14,0.002953793656297975
2021-04-15,0.0029382415837693387
2021-04-16,0.002874716424954837
2021-04-17,0.0028760010398578076
2021-04-18,0.002877285654760778
2021-04-19,0.002897702289680479
2021-04-20,0.0030267992171365363
2021-04-21,0.003043216332154112
2021-04-22,0.003088464198196428
2021-04-23,0.003064619619979312
2021-04-24,0.003065815397390323
2021-04-25,0.0030670111748013337
2021-04-26,0.003013223275573714
2021-04-27,0.0030393907763333885
2021-04-28,0.0029303545998468593
2021-04-29,0.0029068196398294804
2021-04-30,0.002995795171771221
2021-05-01,0.002997264291159623
2021-05-02,0.0029987334105480244
2021-05-03,0.002974860116811929
2021-05-04,0.0030503201201069214
2021-05-05,0.002934544273917928
2021-05-06,0.0028588483820940523
2021-05-07,0.002817317765306706
2021-05-08,0.002818939513800069
2021-05-09,0.0028205612622934305
2021-05-10,0.002898032876843013
2021-05-11,0.0029497713675379726
2021-05-12,0.0029979241671720435
2021-05-13,0.002903840930307725
2021-05-14,0.0028099534412046965
2021-05-15,0.002811855369876822
2021-05-16,0.002813757298548948
2021-05-17,0.002802871948653414
2021-05-18,0.0028035203791792213
2021-05-19,0.002859238227191099
2021-05-20,0.0028107615386867694
2021-05-21,0.002794200794564633
2021-05-22,0.0027958597757000016
2021-05-23,0.002797518756835369
2021-05-24,0.0027698538921134704
2021-05-25,0.0027671975646983253
2021-05-26,0.0028055871977228715
2021-05-27,0.002697699406368151
2021-05-28,0.0026680324780850545
2021-05-29,0.0026697203383561473
2021-05-30,0.002671408198627239
2021-05-31,0.0026730960588983318
2021-06-01,0.0026396830845091456
2021-06-02,0.0026546826630969053
2021-06-03,0.0026295199127630156
2021-06-04,0.0026436414793888784
2021-06-05,0.002645381225704813
2021-06-06,0.0026471209720207475
2021-06-07,0.002641371515515515
2021-06-08,0.002663708253629325
2021-06-09,0.0027208422559469423
2021-06-10,0.0027529272963350746
2021-06-11,0.0027273372498878507
2021-06-12,0.002729017477083767
2021-06-13,0.0027306977042796826
2021-06-14,0.002728319609265319
2021-06-15,0.00270338921059192
2021-06-16,0.002767927474524029
2021-06-17,0.002846285960238532
2021-06-18,0.0030096420076910083
2021-06-19,0.0030110183562473557
2021-06-20,0.003012394704803703
2021-06-21,0.0029762160402937122
2021-06-22,0.0030036549982391378
2021-06-23,0.00301107375139422
2021-06-24,0.002957494788061708
2021-06-25,0.002937955276081058
2021-06-26,0.002939461197419097
2021-06-27,0.002940967118757137
2021-06-28,0.003006372200098114
2021-06-29,0.003026464041940457
2021-06-30,0.0030885912302198474
2021-07-01,0.003038254748591714
2021-07-02,0.0030887177309240994
2021-07-03,0.0030900135118272875
2021-07-04,0.003091309292730477
2021-07-05,0.003092605073633666
2021-07-06,0.0031498184571797155
2021-07-07,0.0032247795991507113
2021-07-08,0.003343727276803777
2021-07-09,0.003218685881522156
2021-07-10,0.003219894007727775
2021-07-11,0.003221102133933394
2021-07-12,0.0032002019761839164
2021-07-13,0.0032314681383515233
2021-07-14,0.0032019735224449995
2021-07-15,0.0032480806552942737
2021-07-16,0.003324180549012472
2021-07-17,0.0033252238875139573
2021-07-18,0.003326267226015441
2021-07-19,0.0034804729888317995
2021-07-20,0.0033538652204039496
2021-07-21,0.003243559237641168
2021-07-22,0.003283816313219433
2021-07-23,0.0032317934787883646
2021-07-24,0.0032327513670840236
2021-07-25,0.003233709255379683
2021-07-26,0.0031689788910120678
2021-07-27,0.003177855220512199
2021-07-28,0.0031784467491474096
2021-07-29,0.003107710927791715
2021-07-30,0.0031352255628598253
2021-07-31,0.0031362247124119206
2021-08-01,0.003137223861964016
2021-08-02,0.0031461485042937865
2021-08-03,0.0031089509430284623
2021-08-04,0.0031215310992011025
2021-08-05,0.0030927958442844216
2021-08-06,0.0030374082896882965
2021-08-07,0.003038604021310299
2021-08-08,0.0030397997529323017
2021-08-09,0.0030478253868406724
2021-08-10,0.0030461771249710307
2021-08-11,0.0030061248088932256
2021-08-12,0.0030169382404595484
2021-08-13,0.0030095339525272294
2021-08-14,0.0030107093316445767
2021-08-15,0.0030118847107619227
2021-08-16,0.00302748874948967
2021-08-17,0.003086298382342654
2021-08-18,0.003097261016575672
2021-08-19,0.00314530621769638
2021-08-20,0.003128231136438059
2021-08-21,0.003129236612650657
2021-08-22,0.0031302420888632554
2021-08-23,0.003101772710646629
2021-08-24,0.0030831212292717174
2021-08-25,0.0030341666005850175
2021-08-26,0.0030927031846093096
2021-08-27,0.0030593866652785457
2021-08-28,0.0030605343528389718
2021-08-29,0.003061682040399398
2021-08-30,0.003121018424925756
2021-08-31,0.0030970868590077427
2021-09-01,0.003049571790253322
2021-09-02,0.00305367715789717
2021-09-03,0.00307034373094544
2021-09-04,0.003071581741786419
2021-09-05,0.0030728197526273984
2021-09-06,0.0030740577634683778
2021-09-07,0.0030789227209574916
2021-09-08,0.00311937480440648
2021-09-09,0.0031261307611040526
2021-09-10,0.003151864287852999
2021-09-11,0.0031529641806079685
2021-09-12,0.0031540640733629384
2021-09-13,0.0030931340434424857
2021-09-14,0.003138580390341565
2021-09-15,0.0030926450526497264
2021-09-16,0.003085042070460125
2021-09-17,0.0031617747731982828
2021-09-18,0.0031629792146257237
2021-09-19,0.0031641836560531637
2021-09-20,0.003390175137004651
2021-09-21,0.003384995810009171
2021-09-22,0.0032793519053611604
2021-09-23,0.003171915736517735
2021-09-24,0.003207282258068736
2021-09-25,0.0032085649854471008
2021-09-26,0.0032098477128254645
2021-09-27,0.003116738331589876
2021-09-28,0.003161348813397757
2021-09-29,0.0031408797282467065
2021-09-30,0.003172618354163549
2021-10-01,0.0031720670022604056
2021-10-02,0.0031734345546989232
2021-10-03,0.0031748021071374417
2021-10-04,0.003201446515853672
2021-10-05,0.0030885421294673974
2021-10-06,0.003104629029321927
2021-10-07,0.0030467531952155873
2021-10-08,0.0029981166706565063
2021-10-09,0.002999514509300984
2021-10-10,0.003000912347945462
2021-10-11,0.003017828936831652
2021-10-12,0.0030086180644638694
2021-10-13,0.0030078448409086925
2021-10-14,0.002945349577709351
2021-10-15,0.0028893997380540996
2021-10-16,0.002890841796904877
2021-10-17,0.002892283855755654
2021-10-18,0.0029100389329544695
2021-10-19,0.002892995687191664
2021-10-20,0.002868941034020295
